@relation CardPriceDataset

@attribute ccs_average_price numeric
@attribute shift numeric
@attribute shift_3 numeric
@attribute shift_7 numeric
@attribute shift_21 numeric
@attribute shift_30 numeric
@attribute shift_90 numeric
@attribute shift_180 numeric
@attribute shift_365 numeric
@attribute ccsb_average_price numeric

@data
0.58,0,-0.7,0,-0.7,-0.71,-0.71,-0.71,-0.05,1.86
0.35,0,0,-0.17,-0.17,-0.17,-0.29,-0.88,-0.41,0.42
0.42,-0.79,-0.79,-0.79,0,0,-0.78,-0.71,-0.72,2.42
0.42,-0.79,-0.77,-0.79,0,-0.71,-0.82,0.08,-0.68,1.75
1.44,2.2,0,2.2,2.2,2.2,2.2,-0.01,0.12,0.51
0.35,-0.71,0,0,0,0,-0.72,-0.86,-0.76,0.35
0.32,-0.77,0,0,0,0,-0.74,-0.18,-0.75,0.32
1.81,0,6.24,-0.01,0.21,6.24,6.24,-0.56,0.51,1.26
1.19,0.02,2.97,0,0.03,1.64,1.64,1.64,-0.03,1.18
0.3,-0.83,0,0,-0.83,0,0,-0.81,-0.84,0.3
0.49,0,0,0,-0.69,-0.64,-0.66,0,0.4,0.49
3.89,-0.59,0,-0.61,-0.41,-0.44,0,-0.28,0.03,6.11
0.56,-0.73,0,-0.73,-0.74,-0.72,-0.05,0,-0.25,2.12
1.43,1.55,1.55,-0.06,0.07,1.55,0.07,1.07,1.17,0.57
0.42,0,0,0,-0.67,-0.67,-0.65,0,-0.67,0.35
1.59,0,0.67,0.67,-0.03,-0.04,0.67,0.24,0.2,0.49
0.88,-0.63,0.16,0.16,-0.62,-0.61,-0.04,-0.52,-0.56,0.39
1.69,5.76,5.76,-0.12,5.76,5.76,-0.03,5.76,5.76,0.25
41,0,0,0.43,0.43,19.5,5.02,2.52,1.14,28.65
0.42,0,-0.72,-0.72,0,-0.72,-0.75,0.2,-0.67,1.49
0.49,0,-0.81,-0.81,-0.81,-0.17,-0.62,-0.83,-0.91,2.57
0.35,0,-0.75,-0.77,-0.78,0,-0.13,-0.19,-0.84,1.39
3.99,0,0,0,-0.18,-0.58,-0.15,-0.26,-0.43,8.91
0.79,0,0,0,0,0,0.23,0.14,0.46,0.59
0.79,0,0,-0.7,0,0.07,0.07,0.14,0.14,0.79
1.04,0,0,-0.7,0,0,-0.54,-0.42,-0.72,1.04
0.49,0,0,-0.75,0,0,-0.76,-0.72,-0.14,0.49
4.24,0,0,0,2.21,-0.01,0,9.1,9.34,4.25
7.99,0,-0.07,0,0,0,0.04,0.23,0.43,8.19
36.01,0,0,0,-0.02,0.17,-0.03,0.27,0.09,54.4
2.65,6.16,6.16,6.16,-0.05,6.16,-0.13,0.68,5.97,0.34
0.31,0,0,0,0,0,0,0,-0.18,0.31
36.99,0,0,0,0,0,0,-0.18,-0.34,44.84
36.99,0,0,0,0,0,0,-0.18,-0.34,44.84
1.24,1.38,2.54,2.54,-0.02,1.38,-0.02,0.51,-0.23,0.52
1.2,3.8,-0.01,3.8,0,-0.02,3.8,3.8,2.24,0.25
1,0.75,1.86,1.86,0.75,-0.44,0.75,-0.41,0.79,0.58
4.67,0.72,0.72,0.72,0.66,0,0.18,0.47,0.78,2.71
1.77,2.34,2.34,2.34,2,-0.01,2,1.57,2.47,0.53
2.31,4.5,3.71,3.71,3.71,-0.01,0.16,3.53,3.91,0.42
1.61,2.83,2.83,-0.01,2.43,2.16,2.16,-0.15,2.66,0.49
1.38,2.94,2.94,0,2.94,0.08,0.04,2.94,2.94,0.35
44.39,-0.39,-0.39,0,-0.39,-0.39,-0.39,-0.25,-0.51,72.49
44.39,-0.39,-0.39,0,-0.39,-0.39,-0.39,-0.25,-0.51,72.49
0.44,0,0,0,0,0,0.26,-0.37,-0.41,0.3
1.38,0.23,1.82,1.82,1.82,1.82,1.82,0.25,-0.27,0.49
0.52,0,0,0,0,0,-0.04,-0.16,-0.8,0.47
264.99,0,0,0,0,-0.14,0,0,-0.04,264.99
264.99,0,0,0,0,-0.14,0,0,-0.04,264.99
0.25,0,0,0,0,0,0,0,0,0.25
0.59,0,0.16,0.34,-0.64,0.16,0.16,0.16,-0.54,1.8
0.25,0,0,0,0,0,0,0,0,0.25
0.37,0,0,-0.79,0,-0.8,-0.16,-0.16,-0.79,0.42
15.92,0,0,0,0.04,0.08,0.17,0.27,-0.22,15.85
3.67,0.05,0.71,0.05,0.71,-0.02,0.07,0.84,-0.02,3.43
4,0,0.19,0.1,0.5,0.61,0.61,0.31,0.38,3.57
4,0,0.19,0.1,0.5,0.61,0.61,0.31,0.38,3.57
3.86,0,0.12,-0.02,-0.07,2.02,0.06,1.99,6.88,3.74
1.14,0,0,0,0,0,-0.05,-0.12,-0.63,1.14
1.68,3.8,0,3.8,3.8,3.8,3.8,3.8,0.17,0.35
0.32,-0.79,-0.79,0,0,0,-0.85,-0.11,-0.75,1.51
0.31,-0.77,-0.77,0,0,0,-0.74,-0.16,-0.76,1.33
0.32,0,0,0,-0.83,0,0,-0.18,-0.75,1.39
0.33,0,0,0,-0.74,0,0,-0.13,-0.73,1.29
0.35,0,0,0,-0.77,0,0,-0.13,-0.74,1.59
6.94,0.18,0.15,0.24,0.21,0.18,0.91,0.9,0.15,5.66
0.5,-0.7,0,-0.72,0,-0.69,-0.68,0.28,-0.62,1.5
0.42,-0.75,0,-0.72,0,-0.75,-0.77,-0.78,-0.68,0.42
1.37,2.91,0,2.91,2.91,2.91,1.8,0,-0.17,1.41
1.62,3.05,0.17,3.05,3.05,3.05,2.31,-0.32,0.25,1.61
1.54,2.14,-0.04,2.14,2.14,2.14,-0.08,-0.15,2.95,1.79
8.79,-0.01,-0.07,-0.43,0.46,0.57,0.64,-0.3,-0.43,11.81
7.99,0,0,0,-0.38,0,-0.18,-0.41,0.23,13.51
1.22,2.7,2.7,0.01,0.18,2.7,0.01,-0.31,-0.05,0.33
1.69,0,-0.5,-0.69,-0.68,-0.4,-0.73,-0.85,-0.82,1.89
0.81,1.31,1.31,0.11,-0.13,-0.16,1.02,1.02,-0.34,2.11
1.38,0,2.29,2.29,2.29,2.29,2.54,-0.42,0.14,1.39
3.49,0,0,0,-0.3,-0.32,-0.19,-0.52,-0.46,3.49
6.65,0.67,-0.02,0.11,-0.15,0,0,0,0,30.76
6.65,0.67,-0.02,0.11,-0.15,0,0,0,0,30.76
9.99,0.28,-0.4,0.23,-0.4,-0.53,0,0,0,45.64
9.99,0.28,-0.4,0.23,-0.4,-0.53,0,0,0,45.64
1.55,-0.02,-0.03,-0.28,-0.25,-0.31,-0.29,0.29,0.27,1.47
1.67,1.98,1.98,1.98,2.98,3.51,0.27,3.39,0.13,0.57
0.32,-0.67,-0.67,0,-0.85,-0.85,0,-0.11,-0.11,0.32
0.46,-0.67,-0.67,0,-0.8,-0.81,-0.78,-0.02,-0.65,0.48
0.49,0,-0.8,0,-0.76,0,-0.4,-0.76,-0.82,0.49
1.56,5.78,5.78,5.78,5.78,5.78,-0.64,5.78,0.14,1.39
0.3,0,0,-0.86,0,0,0,-0.85,-0.76,0.3
1.89,5.3,5.3,5.3,-0.41,3.4,3.4,0.77,-0.23,0.43
1.43,2.4,-0.19,2.4,2.4,2.4,2.4,-0.23,2.4,0.42
1.43,2.4,-0.19,2.4,2.4,2.4,2.4,-0.23,2.4,0.42
0.46,0,-0.7,0,-0.69,0,0.53,0.21,-0.63,1.47
0.49,-0.73,0,-0.73,-0.72,0,0.4,-0.65,0.4,1.95
0.3,-0.76,0,-0.76,-0.77,0,0,-0.82,0,1.32
0.25,0,-0.81,0,-0.79,0,-0.77,-0.79,-0.77,0.25
0.49,0,-0.72,0,-0.72,0,-0.68,-0.67,-0.6,0.49
0.42,0,0,0.14,0,-0.14,-0.14,-0.18,-0.86,0.49
0.23,-0.78,-0.79,-0.78,0,0,-0.87,-0.87,-0.86,0.2
0.31,-0.72,-0.72,-0.71,0,0,-0.7,-0.62,-0.74,0.31
0.25,0,0,0,0,0,0,-0.77,-0.86,0.25
0.32,0,0,0,-0.78,0,-0.73,-0.69,-0.84,0.32
1.08,0,0,2.09,-0.45,-0.41,-0.44,-0.1,-0.22,0.49
1.23,0,2.84,2.84,2.84,-0.38,-0.27,0.34,0.03,0.32
0.49,0,0,0,-0.84,0,0.11,0.11,-0.14,0.49
1.94,-0.01,2.96,0.45,2.96,2.96,0.48,4.54,0.27,2.06
1.66,0,-0.04,-0.05,-0.05,-0.02,-0.24,-0.1,-0.32,1.84
1.66,0,-0.04,-0.05,-0.05,-0.02,-0.24,-0.1,-0.32,1.84
30.02,0.2,0.2,-0.02,0.2,-0.03,0.2,-0.27,0.03,29.17
0.35,0,-0.84,0,0,0,0,-0.83,-0.76,2.04
0.49,-0.77,-0.77,0,0,0,0,-0.76,-0.78,0.49
1.89,-0.63,0,0,-0.62,-0.56,-0.58,0,0,1.89
1.89,-0.63,0,0,-0.62,-0.56,-0.58,0,0,1.89
0.79,-0.44,0,0,-0.42,0,-0.45,0.23,-0.53,0.59
2,5.25,5.25,4.41,0.79,4.41,0.39,-0.03,0.34,1.12
15.98,0,0,-0.11,0,-0.14,-0.09,-0.2,1,15.98
27.19,0,0,-0.05,0,-0.09,-0.03,0.27,0.76,27.19
27.19,0,0,-0.05,0,-0.09,-0.03,0.27,0.76,27.19
10.65,0.02,0.02,0.02,-0.02,-0.11,-0.03,-0.18,-0.15,10.47
4.26,0.43,0.43,0.43,0.12,0.11,0.08,-0.19,-0.19,4.33
3.99,-0.58,-0.58,0,0.29,0.29,0.18,-0.27,-0.43,3.39
7.42,-0.51,-0.5,0,0.4,0.15,0.24,0.07,-0.51,8.49
3.38,0,0.13,-0.03,0.13,0.13,-0.03,0.07,0.62,2.99
139.43,0.21,0.21,0.03,0.21,0.21,0.2,0.72,-0.07,114.95
8.93,-0.01,-0.01,-0.03,-0.01,0.02,-0.06,0.03,-0.25,8.85
6.05,0,-0.07,-0.03,0,0,0,0.28,0.27,6.05
16.54,0,0.11,0.01,0,-0.03,0.14,0.14,0.25,15.79
6.48,0,0.01,0,0.06,-0.04,0.06,0.29,0.48,6.62
0.35,0,-0.81,-0.79,-0.82,0,0,-0.82,-0.83,0.35
23.28,-0.01,0.03,0.03,0,0,0,0,0,21.75
23.28,-0.01,0.03,0.03,0,0,0,0,0,21.75
2.17,0.02,0.1,0.09,0.01,-0.01,0,0,0,7.47
2.17,0.02,0.1,0.09,0.01,-0.01,0,0,0,7.47
2.56,-0.06,-0.67,-0.06,-0.44,-0.46,-0.79,-0.81,-0.86,2.26
1.71,0,-0.02,-0.03,-0.19,4.18,2.56,1.71,0.41,0.31
0.39,0,0,0,-0.73,-0.34,-0.72,-0.7,-0.37,0.39
2.08,0,0,0.66,-0.25,0,-0.37,-0.51,-0.54,2.08
1.76,0.01,0.02,2.59,-0.07,-0.33,0.31,3.19,0.47,0.35
1.27,4.08,4.08,-0.05,4.08,-0.04,4.08,4.08,0,1.35
1.41,2.62,2.62,-0.02,2.62,-0.06,2.62,0.88,-0.19,1.47
1.72,0,5.14,5.14,0.03,-0.01,-0.09,0.14,0.4,1.49
0.51,0,0,-0.5,0,0,0.06,0.06,-0.61,1.4
5.17,0.04,0.04,-0.02,-0.03,-0.14,0.85,1.26,0.19,4.51
0.23,-0.85,0,0,-0.9,-0.9,-0.9,-0.26,-0.88,0.23
0.28,-0.78,0,0,0,-0.85,-0.78,-0.2,-0.85,1.33
0.25,0,0,0,-0.8,0,-0.8,-0.79,-0.86,0.25
2.4,0,0.03,1.82,1.82,1.82,0.69,-0.09,0.3,0.96
1.76,0,0,0.03,0.01,-0.09,-0.13,0.27,0.35,43.24
1.76,0,0,0.03,0.01,-0.09,-0.13,0.27,0.35,43.24
5.21,0.03,-0.03,0,0.51,0.47,-0.22,-0.08,-0.05,5.98
1.18,0,-0.01,4.13,4.13,4.13,4.13,2.47,-0.05,0.25
1.82,3.33,0.01,3.33,3.33,0.56,-0.01,0.63,0.05,1.32
0.37,-0.86,-0.86,0,-0.12,-0.12,-0.12,-0.12,-0.81,1.36
0.49,-0.63,0,-0.62,0,0,0,-0.68,-0.6,0.51
0.33,0,0,-0.8,-0.84,0,-0.84,-0.15,-0.21,0.33
0.42,0,0,0,-0.7,-0.05,-0.63,-0.85,-0.68,0.42
3.29,8.4,8.4,0.12,8.4,0.21,0.38,4.77,1.38,0.52
42.07,0,-0.01,-0.02,0.34,0.34,-0.23,0.08,-0.19,34.99
6.02,0.08,0.06,0.09,0.12,0.1,0.27,0,0,0.69
6.02,0.08,0.06,0.09,0.12,0.1,0.27,0,0,0.69
0.35,-0.84,0,-0.84,0,-0.84,-0.19,-0.84,-0.72,1.31
1.64,0,0,0,0,0,0,0.38,-0.09,1.64
1.28,0,0,0,-0.16,-0.16,-0.44,-0.39,-0.65,0.66
0.4,0,0,0,0,0,0,0.11,-0.67,0.4
0.44,0,0,0,0.16,0.16,0.16,-0.8,-0.38,0.41
14.99,0,-0.13,0,-0.13,0,0,0,0.13,17.13
29.99,0,-0.11,0,-0.11,0.09,0.11,0.06,0.42,31.07
29.99,0,-0.11,0,-0.11,0.09,0.11,0.06,0.42,31.07
1.13,0,-0.01,2.2,-0.13,-0.12,0,0,0,0.35
0.36,-0.69,-0.68,0,0,0,0,-0.68,-0.7,1.1
4.89,0,-0.33,-0.53,0,0,0.58,-0.4,0.32,4.89
0.37,0,-0.74,-0.76,-0.23,-0.23,-0.84,-0.86,-0.73,0.48
0.32,0,-0.74,0,0,-0.73,-0.74,-0.18,-0.44,0.32
0.53,-0.61,-0.6,0,-0.66,-0.12,-0.18,-0.67,-0.66,0.62
1.8,0,0.2,-0.08,2.6,2.6,-0.06,0.13,0.3,0.45
1.29,0,0,0,0,0,-0.13,-0.17,-0.57,1.29
2.74,4.59,4.59,0.08,4.59,-0.06,4.59,0.36,2.47,0.49
1.1,2.44,0,2.44,-0.45,-0.43,-0.39,1,-0.15,0.28
3.09,-0.09,0.17,0.17,4.24,4.52,0.25,3.41,0.77,0.59
3.67,3.96,3.96,3.96,0.03,3.96,-0.18,3.59,1.1,0.74
0.32,0,-0.73,-0.73,0,0,0,-0.87,-0.75,0.32
1.1,2.67,2.67,2.67,2.67,2.67,-0.4,2.06,-0.13,0.3
1.09,2.52,2.52,2.52,0.07,2.52,-0.38,-0.4,1.95,0.31
1.37,4.48,4.48,4.48,4.48,4.48,0.01,0,4.48,0.25
1.55,3.43,3.43,-0.01,0.03,2.37,0.82,0.74,0.3,0.46
1.39,1.57,1.57,1.57,1.73,-0.03,0.01,1.57,0.07,0.54
1.44,1.94,1.94,1.94,-0.01,2.69,2.69,2.69,0.13,0.49
10.01,-0.01,-0.01,0.01,-0.83,-0.83,-0.89,1.01,0.34,1.19
10.01,-0.01,-0.01,0.01,-0.83,-0.83,-0.89,1.01,0.34,1.19
8.99,-0.44,0,-0.45,0,0,0,-0.29,-0.57,17.22
1.58,-0.01,-0.01,-0.02,-0.09,-0.6,0,0,0,2.4
1.58,-0.01,-0.01,-0.02,-0.09,-0.6,0,0,0,2.4
1.76,0,1.75,-0.05,1.26,1.75,-0.28,-0.25,-0.3,0.49
0.94,-0.78,-0.78,-0.67,-0.21,-0.75,-0.34,-0.6,-0.58,0.89
0.49,-0.72,-0.72,0,0,-0.66,0.4,0,-0.65,0.49
0.42,-0.75,-0.75,0,-0.77,-0.05,-0.14,-0.58,-0.44,0.49
1.84,3.38,0,4.26,3.38,-0.04,2.76,-0.71,-0.01,0.42
0.39,0,0,0,0,0,-0.84,0,0,1.33
0.25,0,0,0,0,0,0,-0.42,-0.88,0.25
0.3,0,-0.03,-0.83,-0.25,-0.25,-0.82,-0.78,-0.77,1.58
0.49,0,0,-0.68,-0.17,-0.17,-0.69,-0.59,-0.2,1.38
18.98,0,0,0.19,0.12,0.19,0,0,0,99.28
18.98,0,0,0.19,0.12,0.19,0,0,0,99.28
1.59,3.54,3.54,3.54,3.54,0.08,3.54,2.79,0.05,1.72
1.75,6,6,6,0,0.01,6,6,-0.83,1.74
7.12,0.07,0.07,0,0,0,0.43,0.43,-0.31,9.95
3.99,-0.44,-0.44,0,0,0.38,0,0,-0.8,3.99
0.81,0,0.16,0.16,0.16,0.16,0.16,-0.42,-0.04,0.81
0.49,-0.81,-0.81,0,-0.75,-0.26,-0.35,-0.7,-0.79,0.62
0.33,0,0,0,0,-0.73,-0.67,0,0,0.33
6.54,0,0,0.01,0.01,-0.45,-0.05,-0.16,-0.03,6.54
6.54,0,0,0.01,0.01,-0.45,-0.05,-0.16,-0.03,6.54
2.04,0,0,0,-0.55,-0.55,-0.24,0.08,0.03,4.07
0.49,0,-0.7,-0.7,0,-0.69,0,0,0.75,1.73
599.99,0,-0.94,-0.91,0,-0.91,0,0,0,9052.99
0.49,0,0,0,-0.29,-0.69,-0.64,-0.75,-0.69,0.69
0.34,0,0,0,-0.21,-0.78,-0.78,-0.96,-0.79,2.01
2.94,0,0.34,0,0,0,0.46,-0.65,1.06,2.94
0.67,0,-0.56,0,0,0,-0.53,-0.58,-0.59,0.67
23.48,0,0,0,0.01,0.01,-0.25,-0.17,1.43,5.4
23.48,0,0,0,0.01,0.01,-0.25,-0.17,1.43,5.4
3.12,5.37,5.37,5.37,5.37,5.37,6.43,0.87,4.29,3.22
0.39,0,0,-0.89,-0.75,-0.72,0.11,0.11,0.11,0.49
0.32,0,0,0,-0.14,-0.76,-0.77,-0.18,-0.75,0.32
1.45,0,2.45,2.45,2.3,1.96,1.96,2.63,0.1,0.42
1.41,0,-0.03,3.03,-0.06,-0.08,4.64,1.88,0.16,0.35
1.39,0,0.08,0.08,-0.46,-0.46,0.17,0.4,-0.84,1.39
2.23,1.97,1.23,1.56,2.19,-0.05,-0.06,2.23,2.28,2.37
0.32,0,0,0,-0.24,-0.24,-0.86,-0.64,-0.82,0.32
0.52,0,0.49,0.49,0,0,0.18,-0.28,-0.61,1.3
0.37,0,-0.7,0,-0.67,0,-0.86,0,-0.69,1.28
0.44,0,0,0,-0.79,-0.79,-0.86,0.1,-0.67,1.72
1.99,-0.48,0,0,-0.66,0,0,0,0.34,4.13
8.1,0,0,8.1,8.1,-0.01,8.1,8.1,0.14,0.89
9.13,0,0.54,3.59,3.59,0.51,3.06,0.58,1.62,1.99
2.36,0,-0.01,3.14,3.14,-0.01,3.14,1.68,-0.23,0.56
2.77,0,-0.01,0.99,0.99,-0.05,1.54,0.66,0.15,3.72
3.1,0,-0.01,3.19,3.19,-0.04,-0.1,11.4,4.25,0.54
0.33,0,0,0,0,0,0,-0.84,0,0.33
1.49,-0.01,2.04,1.76,0.15,1.76,1.66,0.16,1.48,1.42
4.24,0,0,-0.15,-0.28,-0.15,-0.19,-0.33,-0.66,4.24
2.92,0,0,-0.12,4.96,4.96,3.06,2.89,0.46,0.49
1.23,2.51,0.01,2.51,2.51,2.51,0.14,0,0,0.35
12.14,1.46,-0.01,1.46,1.49,-0.02,0.95,-0.21,1.78,13.77
12.14,1.46,-0.01,1.46,1.49,-0.02,0.95,-0.21,1.78,13.77
1.95,0.48,0.01,0.07,-0.01,0.11,-0.23,-0.18,2,0.99
0.25,0,0,-0.87,0,-0.87,0,0,-0.8,0.25
0.53,0,0,-0.74,0,-0.74,0.77,-0.39,-0.56,0.53
0.42,0,0,-0.7,-0.7,-0.7,-0.73,-0.41,-0.73,0.29
2.79,0,0,-0.42,0.14,0.14,0,-0.11,-0.35,2.79
0.35,-0.84,-0.95,-0.95,0,-0.94,0,-0.29,-0.81,0.35
0.49,-0.85,0,-0.86,0,-0.91,0,-0.95,-0.94,0.49
1,0,-0.69,0,-0.86,0,-0.86,-0.87,-0.59,0.99
1.29,0,0,0,0,0,0.3,-0.78,-0.2,0.99
54.14,-0.12,0,0.01,0.01,0.01,-0.18,0.06,0.08,67.43
0.33,-0.68,0,0,-0.82,-0.83,0,-0.83,-0.74,0.33
17.85,1.19,0,0,1.34,1.19,0.05,0.17,2.92,16.56
1.79,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.09,6.16
13.78,0.01,1.21,1.21,0.29,-0.02,1.38,1.04,1.05,16.18
11.84,0,0,-0.13,-0.29,-0.01,-0.19,-0.31,0.15,14.64
1.82,-0.02,2.87,2.87,-0.26,-0.26,-0.23,1.98,1.98,0.42
4.47,0.95,0,0.95,0.95,0.95,-0.03,0.95,0.74,1.59
0.99,0,0,0,0,0,-0.76,0,-0.37,0.69
0.78,0,-0.55,0,-0.56,-0.56,0.59,0.86,0.44,1.8
0.58,0,-0.79,0,-0.78,-0.77,0.16,0.16,-0.43,2.09
0.92,0,-0.6,0.05,-0.56,-0.57,-0.59,0.44,0.53,2.09
1.39,-0.64,0,0,-0.67,0,0.56,-0.67,-0.35,0.99
2.49,-0.53,0,0,-0.45,-0.09,-0.38,-0.22,-0.24,3.19
1.82,0,1.64,1.64,0.02,1.84,-0.05,0.05,0.1,0.49
1.29,0,0,0,0,0,0,-0.07,-0.51,1.14
1.29,-0.68,0,-0.69,-0.71,0,-0.72,-0.68,-0.61,1.29
1.25,3.46,0,3.46,3.46,3.46,1.98,1.55,-0.76,0.42
4.17,0,0,0,0,0,-0.05,-0.33,-0.21,4.39
0.49,0,0,0,0,0,0,0.11,0.07,0.49
0.49,0,0,0,0,0,0,0.11,0.07,0.49
0.36,0,0,0,0,0,0.2,-0.31,-0.28,1.48
1.95,0.05,0.23,0.27,0.04,-0.02,0.1,0.46,0.5,2.4
2.14,2.63,2.63,0.09,3.2,3.2,0.14,0.14,2.75,0.49
5.01,1.91,1.91,0.19,2.3,2.3,2.05,-0.06,-0.51,1.62
0.49,0,-0.76,0,-0.23,-0.77,-0.13,-0.02,-0.67,0.49
2.29,-0.12,-0.11,-0.11,0,0,-0.45,-0.02,-0.3,2.4
1.85,4.29,4.29,4.29,2.56,2.56,2.56,-0.34,-0.24,0.52
1.41,3.55,3.55,3.55,3.55,3.55,3.55,2.81,-0.04,0.31
1.31,3.09,3.09,3.09,3.09,3.09,3.09,2.36,-0.14,0.32
0.49,-0.57,-0.59,0,0,0,0.4,-0.85,-0.72,1.67
6.29,0,0,0,0,-0.69,-0.62,0.27,-0.39,4.94
2.09,-0.64,0,0,-0.65,-0.71,-0.14,-0.24,-0.4,2.99
0.72,0,0.07,0.07,0.14,0.07,0,0.01,-0.93,12.31
0.3,0,0,0,0,0,0,-0.44,-0.83,0.3
0.49,-0.69,0,0,0,-0.83,1.13,-0.26,-0.69,0.49
0.92,-0.68,-0.68,0,0.12,-0.11,-0.37,-0.39,-0.6,0.76
1.4,2.04,-0.02,3,2.04,2.04,1.98,1.98,0.09,0.46
7.43,-0.12,2.11,2.07,2.22,2.75,-0.1,3.08,3.08,0.25
7.43,-0.12,2.11,2.07,2.22,2.75,-0.1,3.08,3.08,0.25
1.14,0,0,0.08,-0.07,-0.1,0.04,-0.09,-0.58,0.91
0.31,0,0,0,0,0,0,-0.11,-0.77,0.31
0.3,0,0,0,-0.06,-0.17,-0.17,-0.25,-0.81,0.3
0.25,-0.8,0,0,0,0,0,-0.8,-0.84,2.05
0.25,-0.8,0,0,0,0,0,-0.8,-0.84,2.05
0.25,-0.83,0,-0.83,0,0,-0.81,-0.82,-0.86,2.04
0.25,-0.83,0,-0.83,0,0,-0.81,-0.82,-0.86,2.04
1.19,1.33,1.33,1.29,1.13,1.13,1.02,1.33,-0.36,0.56
1.78,3.05,3.05,2.63,2.63,2.63,3.05,3.05,0.04,0.42
0.35,-0.72,0,0,-0.85,0,0,-0.82,-0.03,1.5
0.31,-0.79,0,0,-0.76,0,-0.8,-0.76,-0.26,1.62
0.25,0,0,0,0,0,0,-0.47,-0.47,5.51
0.25,0,0,0,0,0,0,-0.47,-0.47,5.51
1.19,-0.02,2.61,2.61,2.61,2.61,2.61,2.22,-0.05,0.33
1.93,0.01,3.83,3.83,3.83,3.83,4.85,3.02,3.39,0.4
8.49,-0.01,-0.01,1.64,0.65,0.69,0.68,0.67,4.18,1.41
8.49,-0.01,-0.01,1.64,0.65,0.69,0.68,0.67,4.18,1.41
1.31,-0.53,-0.53,-0.51,0.04,0.04,0,-0.53,-0.69,1.27
1.66,0.01,0.01,-0.04,-0.07,0.02,-0.83,-0.69,0.38,1.22
1.66,0.01,0.01,-0.04,-0.07,0.02,-0.83,-0.69,0.38,1.22
1.28,0,1.29,1.29,0.06,0.97,-0.02,-0.06,-0.23,1.51
0.64,0,-0.72,-0.73,-0.17,-0.17,-0.07,-0.71,-0.03,0.49
1.89,0,-0.72,-0.72,-0.79,0,1.12,-0.51,-0.5,1.56
0.89,0.13,-0.9,0.13,0,0,-0.4,-0.7,-0.7,0.89
0.31,0,0,-0.69,-0.03,-0.16,-0.67,-0.86,-0.75,0.93
0.25,-0.89,-0.89,0,0,-0.88,0,-0.87,-0.85,7.25
0.25,-0.89,-0.89,0,0,-0.88,0,-0.87,-0.85,7.25
0.25,0,0,0,-0.88,0,0,0,-0.8,1.91
0.25,0,0,0,-0.88,0,0,0,-0.8,1.91
1.71,0,-0.02,-0.06,-0.07,-0.32,-0.15,-0.27,-0.25,1.79
5.51,-0.01,-0.04,1.83,2.51,0.72,1.23,2.24,2.13,5.64
5.51,-0.01,-0.04,1.83,2.51,0.72,1.23,2.24,2.13,5.64
0.41,0,0.28,0.28,0,0,0,-0.07,-0.7,0.41
0.25,0,0,0,0,0,-0.79,-0.88,-0.86,7
0.25,0,0,0,0,0,-0.79,-0.88,-0.86,7
0.42,-0.69,0,0,0,0,-0.7,-0.14,-0.7,0.49
0.25,-0.8,0,0,0,-0.71,0,0,0,0.25
1.75,2.57,2.57,2.57,-0.01,2.57,-0.13,0.01,-0.22,0.49
2.2,0,-0.01,0.01,0,-0.14,-0.65,-0.38,-0.73,2.31
1.34,2.62,2.62,2.62,2.62,2.62,2.44,1.79,-0.05,1.47
4.37,0.25,0,0,0.25,0.26,0.25,0.14,0.27,3.49
0.54,0,-0.73,0,-0.74,0,-0.89,-0.51,-0.47,0.54
0.35,0,0,0,-0.86,-0.86,0,-0.9,-0.8,0.35
0.4,0,0,-0.18,-0.82,-0.82,-0.42,-0.86,0.14,0.4
0.52,0,0,0,0,0,0,0,-0.7,0.35
1.1,3.23,0,3.23,3.23,0.12,3.23,-0.18,-0.44,1.29
0.35,0,-0.75,0,0,0,-0.83,-0.13,-0.88,0.35
38.01,0.29,0,0,-0.09,-0.09,0.14,-0.13,-0.24,29.49
0.32,0,0,0,-0.75,0,-0.77,-0.18,-0.81,0.39
0.49,-0.94,0,0,0,-0.91,0,-0.35,-0.89,0.49
0.35,0,0,-0.79,0,0,0,-0.74,-0.94,0.35
0.66,0,0,-0.68,-0.01,-0.07,-0.69,-0.11,-0.63,0.63
18.52,0,0,0,-0.07,-0.14,-0.16,-0.19,0.77,16.14
1.65,2.06,2.06,2.37,2.06,-0.03,0.08,2.44,0.07,0.54
0.33,0,-0.8,0,0,0,-0.8,-0.84,0,0.33
0.36,0,-0.79,0,0.2,-0.83,-0.81,-0.8,-0.05,0.36
1.57,2.2,2.2,2.2,0.14,3.49,3.49,1.31,1.31,1.45
0.35,-0.68,0,0,0,0,0,-0.85,-0.75,1.07
0.49,-0.78,0,0,0,0,-0.75,-0.78,-0.79,2.01
0.35,0,0,0,0,0,0,-0.13,-0.73,1.2
0.3,0,0,0,0,0,0,-0.17,-0.76,0.3
0.86,0,0,-0.74,-0.03,-0.03,-0.03,0.02,-0.86,0.86
1.29,0.3,0.3,-0.62,0,-0.69,0,0.3,-0.56,1.29
0.89,0,0,0,-0.78,-0.76,-0.72,-0.42,-0.31,0.89
0.32,0,0,-0.82,0,0,-0.88,-0.18,-0.11,0.36
4.67,0,-0.01,-0.14,-0.18,-0.08,-0.14,-0.63,-0.82,4.14
13.77,0,-0.01,0.62,0.62,-0.03,-0.17,-0.23,-0.39,8.4
